pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c,23,23,5,c,1,0.3656866659875959,None,,,,,5,23,23,2,520.4778502080007,,520.4689160420094,520.4778502080007,521.4657970829867,521.4657970829867,521.4657970829867,521.4657970829867,521.4709368330077,522.4658581669792,522.4658581669792,522.8344495419879,,,,,c,1,0.3656866659875959,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,24,24,4,z,1,0.3759429579949938,None,,,,,4,24,24,3,522.8440522080055,,522.8350366249797,522.8440522080055,523.8325932080043,523.8325932080043,523.8325932080043,523.8325932080043,523.838247333013,524.8324675830081,524.8324675830081,525.2182851249818,,,,,z,1,0.3759429579949938,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,25,25,6,v,1,0.34670879202894866,None,,,,,6,25,25,1,525.2290142499842,,525.2193090830115,525.2290142499842,526.215803041996,526.215803041996,526.215803041996,526.215803041996,526.2209020419978,527.2158285829937,527.2158285829937,527.5677665830008,,,,,v,1,0.34670879202894866,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,26,26,6,c,1,0.45662133302539587,None,,,,,6,26,26,2,527.5778611669666,,527.5683420830173,527.5778611669666,528.5657783329953,528.5657783329953,528.5657783329953,528.5657783329953,528.5704130000086,529.5657871249714,529.5657871249714,530.0344736669795,,,,,c,1,0.45662133302539587,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,27,27,7,c,1,0.512885042000562,None,,,,,7,27,27,2,530.0445283330046,,530.0352292919997,530.0445283330046,531.032456875022,531.032456875022,531.032456875022,531.032456875022,531.0372397499741,532.0325185420224,532.0325185420224,532.5511285829707,,,,,c,1,0.512885042000562,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,28,28,5,x,0,1.0522160000400618,None,,,,,5,28,28,3,532.5608682080056,,532.551658958022,532.5608682080056,533.5491902079666,533.5491902079666,533.5491902079666,533.5491902079666,533.5543553329771,534.5490577919991,534.5490577919991,535.6056078749825,,,,,x,0,1.0522160000400618,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-50,x,29,29,8,x,1,0.4688913329737261,None,,,,,8,29,29,0,535.6151714579901,,535.6061722919694,535.6151714579901,536.6047804169939,536.6047804169939,536.6047804169939,536.6047804169939,536.6047804169939,537.6052740419982,537.6052740419982,538.0845191670232,,,,,x,1,0.4688913329737261,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-50,x,30,30,9,x,1,0.33659833297133446,None,,,,,9,30,30,0,538.0947692500195,,538.085231916979,538.0947692500195,539.0824512920226,539.0824512920226,539.0824512920226,539.0824512920226,539.0874320419971,540.0825234170188,540.0825234170188,540.4219567499822,,,,,x,1,0.33659833297133446,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,31,31,8,c,1,0.4786054579890333,None,,,,,8,31,31,2,540.4317700419924,,540.4225410419749,540.4317700419924,541.4214469579747,541.4214469579747,541.4214469579747,541.4214469579747,541.4214469579747,542.4215156669961,542.4215156669961,542.9060076670139,,,,,c,1,0.4786054579890333,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,32,32,9,c,1,0.4226835829904303,None,,,,,9,32,32,2,542.9154206669773,,542.9065759580117,542.9154206669773,543.9045489170239,543.9045489170239,543.9045489170239,543.9045489170239,543.9045489170239,544.905329125002,544.905329125002,545.3343586670235,,,,,c,1,0.4226835829904303,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,33,33,6,x,0,0.8374832919798791,None,,,,,6,33,33,3,545.3442204999737,,545.3349147500121,545.3442204999737,546.332305125019,546.332305125019,546.332305125019,546.332305125019,546.3373438749695,547.3324857080006,547.3324857080006,548.1724120830186,,,,,x,0,0.8374832919798791,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,34,34,7,x,0,0.9723739579785615,None,,,,,7,34,34,3,548.181895332993,,548.1729997500079,548.181895332993,549.1710690829786,549.1710690829786,549.1710690829786,549.1710690829786,549.1710690829786,550.1716629170114,550.1716629170114,551.1515085829888,,,,,x,0,0.9723739579785615,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-50,x,35,35,10,x,1,0.326648665999528,None,,,,,10,35,35,0,551.1616630830104,,551.1521858330234,551.1616630830104,552.1491395829944,552.1491395829944,552.1491395829944,552.1491395829944,552.1545090000145,553.149193499994,553.149193499994,553.4843054999947,,,,,x,1,0.326648665999528,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,36,36,7,v,1,0.44656708301045,None,,,,,7,36,36,1,553.4944073749939,,553.4850834999816,553.4944073749939,554.4824752499699,554.4824752499699,554.4824752499699,554.4824752499699,554.4876883749967,555.4823502500076,555.4823502500076,555.9343119169935,,,,,v,1,0.44656708301045,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,37,37,8,v,1,0.4263307909714058,None,,,,,8,37,37,1,555.943991624983,,555.9348696669913,555.943991624983,556.9323594999732,556.9323594999732,556.9323594999732,556.9323594999732,556.937509750016,557.9324304169859,557.9324304169859,558.3675932079786,,,,,v,1,0.4263307909714058,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,38,38,9,v,1,0.36201487499056384,None,,,,,9,38,38,1,558.3779396250029,,558.368386666989,558.3779396250029,559.3658150419942,559.3658150419942,559.3658150419942,559.3658150419942,559.3708316250122,560.3656765830237,560.3656765830237,560.7344826670014,,,,,v,1,0.36201487499056384,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,39,39,10,v,1,0.3863063750322908,None,,,,,10,39,39,1,560.7444802079699,,560.7352482500137,560.7444802079699,561.7323439579923,561.7323439579923,561.7323439579923,561.7323439579923,561.7374028749764,562.7322925829794,562.7322925829794,563.1225852919742,,,,,v,1,0.3863063750322908,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,40,40,10,c,1,0.5807789579848759,None,,,,,10,40,40,2,563.1321033749846,,563.1231546669733,563.1321033749846,564.1216900419677,564.1216900419677,564.1216900419677,564.1216900419677,564.1216900419677,565.1218027920113,565.1218027920113,565.7055563749745,,,,,c,1,0.5807789579848759,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-50,x,41,41,11,x,1,0.4777610420132987,None,,,,,11,41,41,0,565.7148766670143,,565.7061359579675,565.7148766670143,566.7051517079817,566.7051517079817,566.7051517079817,566.7051517079817,566.7051517079817,567.7047536249738,567.7047536249738,568.1951073749806,,,,,x,1,0.4777610420132987,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,42,42,8,z,1,0.37432591599645093,None,,,,,8,42,42,3,568.1990215830156,,568.1955500830081,568.1990215830156,569.1880250420072,569.1880250420072,569.1880250420072,569.1880250420072,569.1880250420072,570.1892441670061,570.1892441670061,570.5677812079666,,,,,z,1,0.37432591599645093,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,43,43,9,z,1,0.3856288749957457,None,,,,,9,43,43,3,570.577463374997,,570.5683193330187,570.577463374997,571.5657577919774,571.5657577919774,571.5657577919774,571.5657577919774,571.570966875006,572.5658183330088,572.5658183330088,572.9563360419706,,,,,z,1,0.3856288749957457,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,44,44,10,z,1,0.401223375054542,None,,,,,10,44,44,3,572.9826776669943,,572.9569074169849,572.9826776669943,573.9550133749726,573.9550133749726,573.9550133749726,573.9550133749726,573.9698106669821,574.9551871669828,574.9551871669828,575.3678458330105,,,,,z,1,0.401223375054542,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,45,45,11,v,1,0.3226296250359155,None,,,,,11,45,45,1,575.3772620420204,,575.368386792019,575.3772620420204,576.3656480420032,576.3656480420032,576.3656480420032,576.3656480420032,576.3707952499972,577.3656334999832,577.3656334999832,577.7010232919711,,,,,v,1,0.3226296250359155,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,46,46,12,v,1,0.3623822499648668,None,,,,,12,46,46,1,577.709251250024,,577.7017816249863,577.709251250024,578.698930707993,578.698930707993,578.698930707993,578.698930707993,578.7040954579716,579.6990252920077,579.6990252920077,580.067390332988,,,,,v,1,0.3623822499648668,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
-150,z,47,47,11,z,1,0.32772416598163545,None,,,,,11,47,47,3,580.0762581250165,,580.0680287079886,580.0762581250165,581.0656907500234,581.0656907500234,581.0656907500234,581.0656907500234,581.070736832975,582.0656202500104,582.0656202500104,582.4009756669984,,,,,z,1,0.32772416598163545,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
150,v,48,48,13,v,1,0.4232627499732189,None,,,,,13,48,48,1,582.4111691669677,,582.4017630419694,582.4111691669677,583.3990410830011,583.3990410830011,583.3990410830011,583.3990410830011,583.4045009170077,584.3990150829777,584.3990150829777,584.8343544169911,,,,,v,1,0.4232627499732189,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
50,c,49,49,11,c,1,0.42072916601318866,None,,,,,11,49,49,2,584.8428401669953,,584.8348887920147,584.8428401669953,585.8323859170196,585.8323859170196,585.8323859170196,585.8323859170196,585.8380325830076,586.8324395000236,586.8324395000236,587.2557772080181,,,,,c,1,0.42072916601318866,None,5,001,2025-10-01_14h25.33.829, Motor Sequence Learning,,2025.1.1,None,2025-10-01 14h25.45.506259 +0530,
