reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
67.0,75.0,119.0,14,4,1,t,1.488041583012091,None,1,4,14,5,44.6294397090096,,44.62083258401253,44.6294397090096,45.61021712500951,45.61021712500951,45.626866917009465,47.111498417012626,t,1.488041583012091,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
40.0,55.0,62.0,15,5,1,t,1.4692106249858625,None,1,5,15,3,47.124927834025584,,47.11782595902332,47.124927834025584,48.1100180420035,48.1100180420035,48.113571125024464,49.58193683400168,t,1.4692106249858625,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
49.0,60.0,89.0,16,6,1,l,1.2528831659874413,None,1,6,16,4,49.596100042021135,,49.58828625001479,49.596100042021135,50.58242045901716,50.58242045901716,50.593343542015646,51.84505754199927,l,1.2528831659874413,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
11.0,30.0,7.0,17,7,1,l,1.234575706999749,None,1,7,17,0,51.85993008399964,,51.8529687920236,51.85993008399964,52.84348308399785,52.84348308399785,52.84861108401674,54.0816524590191,l,1.234575706999749,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
9.0,18.0,12.0,18,8,1,l,1.3465747490117792,None,1,8,18,8,54.09316775001935,,54.08726641701651,54.09316775001935,55.076670084003126,55.076670084003126,55.08096704201307,56.428381917008664,l,1.3465747490117792,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
78.0,80.0,162.0,19,9,1,t,2.4074007909803186,None,1,9,19,6,56.441760292014806,,56.43509091701708,56.441760292014806,57.42666504200315,57.42666504200315,57.431143916997826,59.84560770902317,t,2.4074007909803186,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
49.0,60.0,89.0,20,0,2,t,1.8496196659980342,None,2,0,20,4,59.85750570902019,,59.852745459007565,59.85750570902019,60.843382959021255,60.843382959021255,60.847275792009896,62.695309125003405,t,1.8496196659980342,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
90.0,101.0,190.0,21,1,2,t,1.630469666008139,None,2,1,21,7,62.708623959013494,,62.701323709014105,62.708623959013494,63.69347925001057,63.69347925001057,63.69785391702317,65.32890629200847,t,1.630469666008139,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
78.0,80.0,162.0,22,2,2,t,1.9771924579981714,None,2,2,22,6,65.34599879200687,,65.33733704200131,65.34599879200687,66.32676320901373,66.32676320901373,66.34338250002475,68.31186879202141,t,1.9771924579981714,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
50.0,69.0,49.0,23,3,2,l,2.8076707079890184,None,2,3,23,9,68.32699416700052,,68.31879800002207,68.32699416700052,69.31002670901944,69.31002670901944,69.3142559590051,72.12739870900987,l,2.8076707079890184,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
15.0,35.0,13.0,24,4,2,l,2.1620094569807407,None,2,4,24,1,72.1392977090145,,72.13319545899867,72.1392977090145,73.11561833400629,73.11561833400629,73.13068416700116,75.28127125001629,l,2.1620094569807407,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
40.0,55.0,62.0,25,5,2,l,1.4677219989825971,None,2,5,25,3,75.30959770901245,,75.28718708400265,75.30959770901245,76.2769251250138,76.2769251250138,76.296739042009,77.74941487499746,l,1.4677219989825971,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
11.0,30.0,7.0,26,6,2,l,1.0660880409996025,None,2,6,26,0,77.76337841700297,,77.75592466699891,77.76337841700297,78.74850025001797,78.74850025001797,78.75995637499727,79.8291480000189,l,1.0660880409996025,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
9.0,18.0,12.0,27,7,2,l,2.18191379099153,None,2,7,27,8,79.84214670900838,,79.83678987500025,79.84214670900838,80.82663954200689,80.82663954200689,80.83037320899894,83.01151425001444,l,2.18191379099153,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
67.0,75.0,119.0,28,8,2,t,3.847750457993243,None,2,8,28,5,83.02482795901597,,83.01793066700338,83.02482795901597,84.01013791700825,84.01013791700825,84.01451475001522,87.86151262500789,t,3.847750457993243,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
27.0,50.0,21.0,29,9,2,l,2.5456880829879083,None,2,9,29,2,87.87489666702459,,87.86793787500937,87.87489666702459,88.86005487502553,88.86005487502553,88.86385600001086,91.41200075001689,l,2.5456880829879083,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
40.0,55.0,62.0,30,0,3,l,3.253391706995899,None,3,0,30,3,91.42444625002099,,91.41848008401575,91.42444625002099,92.40990675002104,92.40990675002104,92.41336649999721,95.66476037501707,l,3.253391706995899,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
78.0,80.0,162.0,31,1,3,t,2.174315625015879,None,3,1,31,6,95.67668458400294,,95.67081129201688,95.67668458400294,96.66491670900723,96.66491670900723,96.66491670900723,98.84539345902158,t,2.174315625015879,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
27.0,50.0,21.0,32,2,3,l,2.9435186659975443,None,3,2,32,2,98.85759820899693,,98.8521883340145,98.85759820899693,99.84324779201415,99.84324779201415,99.84748591700918,102.79504200001247,l,2.9435186659975443,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
90.0,101.0,190.0,33,3,3,t,1.1454403329989873,None,3,3,33,7,102.80869354199967,,102.8015892090043,102.80869354199967,103.79334008399746,103.79334008399746,103.79723470902536,104.94500554201659,t,1.1454403329989873,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
11.0,30.0,7.0,34,4,3,l,1.62997195700882,None,3,4,34,0,104.95885562500916,,104.95170995901572,104.95885562500916,105.94358650001232,105.94358650001232,105.94808600001852,107.57837495900458,l,1.62997195700882,None,2,001,2025-10-30_09h38.50.877,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h39.01.081756 +0530,
