stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49,5,6.0,60.33099604200106,,60.32425874999899,60.33099604200106,60.82111625000107,60.82111625000107,60.82111625000107,61.109001500000886,61.33990574999916,right,6.0,1,1,0.5045042909987387,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
50,5,1.0,61.346769167001185,,61.340318708003906,61.346769167001185,61.83791004199884,61.83791004199884,61.83791004199884,62.125701125005435,62.273233083004015,left,-1.0,1,1,0.43265899999823887,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
51,5,1.0,62.2776678750015,,62.27354337500583,62.2776678750015,62.77137916700303,62.77137916700303,62.77137916700303,63.05775554200227,63.323308708000695,right,1.0,1,1,0.5471635000067181,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
52,5,1.0,63.33089654200012,,63.323646208002174,63.33089654200012,63.82125987500331,63.82125987500331,63.82125987500331,64.10778633299924,64.2230434170051,left,-1.0,1,1,0.38786212500417605,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
53,5,1.0,64.2310189580021,,64.22350166700198,64.2310189580021,64.72127966699918,64.72127966699918,64.72127966699918,65.0086386250041,65.19208783300564,right,1.0,1,1,0.4692162499995902,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
54,5,1.0,65.20477545800532,,65.19234558300377,65.20477545800532,65.68793629200081,65.68793629200081,65.68793629200081,65.97437229200295,66.10648162500001,right,1.0,0,0,0.4096605000013369,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
55,5,6.0,66.11384558300051,,66.10682754200388,66.11384558300051,66.60452791699936,66.60452791699936,66.60452791699936,66.89084429200011,67.55647145800322,right,6.0,0,0,0.9389441669991356,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
56,5,11.0,67.56429508300062,,67.55686195800081,67.56429508300062,68.05467304200283,68.05467304200283,68.05467304200283,68.34040258300229,69.34030870800052,left,-11.0,1,1,1.2808479580053245,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
57,5,11.0,69.34509133300162,,69.34076774999994,69.34509133300162,69.83804912499909,69.83804912499909,69.83804912499909,70.12501575000351,70.4901475000006,right,11.0,1,1,0.6493325830015237,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
58,5,11.0,70.49542033300531,,70.49060504200315,70.49542033300531,70.98792025000148,70.98792025000148,70.98792025000148,71.27453525000601,71.50911254200037,right,11.0,1,1,0.5183787919959286,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
59,5,6.0,71.52122358300403,,71.50938891700207,71.52122358300403,72.00471254200238,72.00471254200238,72.00471254200238,72.29151387500315,72.49367520800297,left,-6.0,1,1,0.4846132079983363,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
60,5,6.0,72.50450508300128,,72.49395275000279,72.50450508300128,72.99241187500593,72.99241187500593,72.99241187500593,73.29103704199952,73.52367979200062,right,6.0,1,1,0.523945041000843,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
61,5,6.0,73.53124079199915,,73.5241362500019,73.53124079199915,74.02142966700194,74.02142966700194,74.02142966700194,74.3074024170055,74.64001454200479,right,6.0,1,1,0.6059545410025748,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
62,5,1.0,74.64764512500551,,74.64047450000362,74.64764512500551,75.13808616700408,75.13808616700408,75.13808616700408,75.42538495800545,75.62287641700095,right,1.0,0,0,0.4811680420025368,1,001,2025-09-02_20h30.21.564,adaptive_staircase,,2025.1.1,None,2025-09-02 20h30.28.813118 +0530,
