delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,1000.0,exp,13,1,1,space,0.27022420801222324,None,500,1,[1.3971265830332413],[1.397129249991849],1,1,13,7,65.6185676669702,,65.60742445895448,65.6185676669702,66.60348983400036,66.60348983400036,66.60795124998549,66.8750408749911,space,0.27022420801222324,None,66.87632137496257,0.41158645797986537,0.7115741249872372,67.591341249994,67.59312758396845,67.60908033396117,67.60908033396117,67.60908033396117,69.00638258398976,500,1,[1.3971265830332413],[1.397129249991849],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.7,1000.0,exp,14,2,1,space,0.2852962919860147,None,400,1,[1.3133405419648625],[1.3133434579940513],1,2,14,11,69.01875970896799,,69.00651591696078,69.01875970896799,70.00325491698459,70.00325491698459,70.00711874995613,70.29282587498892,space,0.2852962919860147,None,70.29402475000825,0.7104077080148272,1.0104639999917708,71.30780962499557,71.30948150000768,71.32619520899607,71.32619520899607,71.32619520899607,72.63971554196905,400,1,[1.3133405419648625],[1.3133434579940513],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.1,1000.0,exp,15,3,1,space,0.40083995898021385,None,200,1,[2.3765728329890408],[2.3765768330194987],1,3,15,3,72.65208233398153,,72.6398469999549,72.65208233398153,73.63660475000506,73.63660475000506,73.6412989589735,74.0423384589958,space,0.40083995898021385,None,74.04351012496045,0.1107511249720119,0.4109747079783119,74.4579722089693,74.45968116697622,74.47558316698996,74.47558316698996,74.47558316698996,76.8523301249952,200,1,[2.3765728329890408],[2.3765768330194987],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.1,1000.0,exp,16,4,1,space,0.2651033329893835,None,500,1,[1.583298375015147],[1.5833009170019068],1,4,16,6,76.85486566700274,,76.85245299997041,76.85486566700274,77.84126879199175,77.84126879199175,77.85331054200651,78.10885745898122,space,0.2651033329893835,None,78.11004616698483,0.11088291701162234,0.41108525003073737,78.52431570895715,78.5261226670118,78.54177654196974,78.54177654196974,78.54177654196974,80.12527737498749,500,1,[1.583298375015147],[1.5833009170019068],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.7,1000.0,exp,17,5,1,space,0.4750513330218382,None,700 ,1,[1.4158546670223586],[1.4158571250154637],1,5,17,5,80.13516283396166,,80.12540395895485,80.13516283396166,81.12432408396853,81.12432408396853,81.12432408396853,81.60535229201196,space,0.4750513330218382,None,81.60682970896596,0.7018583750468679,1.0019213340128772,82.61145091697108,82.61272395896958,82.62667683395557,82.62667683395557,82.62667683395557,84.04270791698946,700 ,1,[1.4158546670223586],[1.4158571250154637],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.4,1000.0,exp,18,6,1,space,0.6216032080119476,None,200,1,[1.0239595409948379],[1.0239627080154605],1,6,18,10,84.05206766695483,,84.0428282499779,84.05206766695483,85.04056033398956,85.04056033398956,85.04056033398956,85.67214691697154,space,0.6216032080119476,None,85.67337033397052,0.4014202499529347,0.7016313329804689,86.37820799998008,86.3793855420081,86.39488420897396,86.39488420897396,86.39488420897396,87.41901841695653,200,1,[1.0239595409948379],[1.0239627080154605],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.1,400.0,unexp,19,7,1,space,0.5917618749663234,None,700,1,[2.1639167080284096],[2.1639200419886038],1,7,19,0,87.42140995897353,,87.41914374998305,87.42140995897353,88.40789949998725,88.40789949998725,88.41998958395561,89.00492887495784,space,0.5917618749663234,None,89.00646633398719,0.10199262498645112,0.4023172919987701,89.41157516697422,89.41287183400709,89.42779120896012,89.42779120896012,89.42779120896012,91.59187679196475,700,1,[2.1639167080284096],[2.1639200419886038],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.4,400.0,unexp,20,8,1,space,0.24780025001382455,None,100,1,[1.0144038340076804],[1.0144064589985646],1,8,20,1,91.60192687500967,,91.59199716697913,91.60192687500967,92.58661916700657,92.58661916700657,92.59096591698471,92.83809054200538,space,0.24780025001382455,None,92.83926341700135,0.40237454103771597,0.7017222910071723,93.54420745896641,93.54542325000511,93.5620216249954,93.5620216249954,93.5620216249954,94.57660483400105,100,1,[1.0144038340076804],[1.0144064589985646],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.4,1000.0,exp,21,9,1,space,0.3003746250178665,None,400,1,[1.2079792919685133],[1.2079827089910395],1,9,21,4,94.5853447499685,,94.57673224998871,94.5853447499685,95.57439991697902,95.57439991697902,95.57439991697902,95.88876949995756,space,0.3003746250178665,None,95.8905304169748,0.4006917080259882,0.7014355410356075,96.59401666698977,96.59527404198889,96.61081362498226,96.61081362498226,96.61081362498226,97.818967374973,400,1,[1.2079792919685133],[1.2079827089910395],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
0.1,1000.0,exp,22,10,1,space,0.5434894159552641,None,100,1,[3.0568412090069614],[3.056843750004191],1,10,22,9,97.82107862498378,,97.81909324997105,97.82107862498378,98.80841795896413,98.80841795896413,98.81996950000757,99.35550445900299,space,0.5434894159552641,None,99.35674987500533,0.10105091700097546,0.4016741249943152,99.76103237498319,99.76256004197057,99.77860374999,99.77860374999,99.77860374999,102.83561208395986,100,1,[3.0568412090069614],[3.056843750004191],1,001,2025-11-11_18h23.04.141,Tutorial 7 | Intentional Binding Task,,2025.1.1,None,2025-11-11 18h23.12.441327 +0530,
